"Category","Title","Animal_Id","Maturity","Price","State","Visibility","Enabled","Sex","Dob","Quantity","Group_Id","Traits","Photo_Urls","Desc","Proven_Breeder","Is_Group","Origin","Prey_State","Prey_Food","Min_Shipping","Max_Shipping","Is_Rep_Photo","Is_Negotiable","Is_For_Trade"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M6-jimanga-bumblebee2023-07-10","Subadult",499,"For Sale","Public","Active","Male","07-10-2023",1,"jimanga-bumblebee2023-07-10","YBBB Ambilobe","https://ipardalis.com/img/babies/20230710/M6_1.jpg https://ipardalis.com/img/ambilobe/jimangabumblebee.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/01/11/bumblebee/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M6-jimanga-bumblebee2023-07-10) - This is the first combo between two of our 5th gen Ambilobe - great ybbb combo!

      We've included sire and dam dendrograms, but you can search for jimanga or bumblebee on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M7-jimanga-bumblebee2023-07-10","Subadult",549,"For Sale","Public","Active","Male","07-10-2023",1,"jimanga-bumblebee2023-07-10","YBBB Ambilobe","https://ipardalis.com/img/babies/20230710/M7_1.jpg https://ipardalis.com/img/ambilobe/jimangabumblebee.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/01/11/bumblebee/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M7-jimanga-bumblebee2023-07-10) - This is the first combo between two of our 5th gen Ambilobe - great ybbb combo!

      We've included sire and dam dendrograms, but you can search for jimanga or bumblebee on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M4-jimanga-bumblebee2023-07-10","Subadult",499,"For Sale","Public","Active","Male","07-10-2023",1,"jimanga-bumblebee2023-07-10","YBBB Ambilobe","https://ipardalis.com/img/babies/20230710/M4_2.jpg https://ipardalis.com/img/ambilobe/jimangabumblebee.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/01/11/bumblebee/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M4-jimanga-bumblebee2023-07-10) - This is the first combo between two of our 5th gen Ambilobe - great ybbb combo!

      We've included sire and dam dendrograms, but you can search for jimanga or bumblebee on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M2-jimanga-bumblebee2023-07-10","Subadult",499,"For Sale","Public","Active","Male","07-10-2023",1,"jimanga-bumblebee2023-07-10","YBBB Ambilobe","https://ipardalis.com/img/babies/20230710/M2_2.jpg https://ipardalis.com/img/ambilobe/jimangabumblebee.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/01/11/bumblebee/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M2-jimanga-bumblebee2023-07-10) - This is the first combo between two of our 5th gen Ambilobe - great ybbb combo!

      We've included sire and dam dendrograms, but you can search for jimanga or bumblebee on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M8-jimanga-bumblebee2023-07-10","Subadult",525,"For Sale","Public","Active","Male","07-10-2023",1,"jimanga-bumblebee2023-07-10","YBBB Ambilobe","https://ipardalis.com/img/babies/20230710/M8_1.jpg https://ipardalis.com/img/ambilobe/jimangabumblebee.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/01/11/bumblebee/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M8-jimanga-bumblebee2023-07-10) - This is the first combo between two of our 5th gen Ambilobe - great ybbb combo!

      We've included sire and dam dendrograms, but you can search for jimanga or bumblebee on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M5-jimanga-bumblebee2023-07-10","Subadult",449,"For Sale","Public","Active","Male","07-10-2023",1,"jimanga-bumblebee2023-07-10","YBBB Ambilobe","https://ipardalis.com/img/babies/20230710/M5_2.jpg https://ipardalis.com/img/ambilobe/jimangabumblebee.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/01/11/bumblebee/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M5-jimanga-bumblebee2023-07-10) - This is the first combo between two of our 5th gen Ambilobe - great ybbb combo!

      We've included sire and dam dendrograms, but you can search for jimanga or bumblebee on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M9-jimanga-bumblebee2023-07-10","Subadult",449,"For Sale","Public","Active","Male","07-10-2023",1,"jimanga-bumblebee2023-07-10","YBBB Ambilobe","https://ipardalis.com/img/babies/20230710/M9.jpg https://ipardalis.com/img/ambilobe/jimangabumblebee.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/01/11/bumblebee/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M9-jimanga-bumblebee2023-07-10) - This is the first combo between two of our 5th gen Ambilobe - great ybbb combo!

      We've included sire and dam dendrograms, but you can search for jimanga or bumblebee on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old YBBB Ambilobe Panther Chameleon","F1-jimanga-kintana2023-10-09","Juvenile",349,"For Sale","Public","Active","Female","10-09-2023",1,"jimanga-kintana2023-10-09","YBBB Ambilobe","https://ipardalis.com/img/babies/20231009/F1.jpg https://ipardalis.com/img/ambilobe/jimangakintana.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/07/31/kintana/tree.png","4 Month-old YBBB Ambilobe Panther Chameleon (F1-jimanga-kintana2023-10-09) - Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female.

      We've included sire and dam dendrograms, but you can search for jimanga or kintana on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old YBBB Ambilobe Panther Chameleon","F2-jimanga-kintana2023-10-09","Juvenile",349,"For Sale","Public","Active","Female","10-09-2023",1,"jimanga-kintana2023-10-09","YBBB Ambilobe","https://ipardalis.com/img/babies/20231009/F2.jpg https://ipardalis.com/img/ambilobe/jimangakintana.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/07/31/kintana/tree.png","4 Month-old YBBB Ambilobe Panther Chameleon (F2-jimanga-kintana2023-10-09) - Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female.

      We've included sire and dam dendrograms, but you can search for jimanga or kintana on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old YBBB Ambilobe Panther Chameleon","F3-jimanga-kintana2023-10-09","Juvenile",349,"For Sale","Public","Active","Female","10-09-2023",1,"jimanga-kintana2023-10-09","YBBB Ambilobe","https://ipardalis.com/img/babies/20231009/F3.jpg https://ipardalis.com/img/ambilobe/jimangakintana.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/07/31/kintana/tree.png","4 Month-old YBBB Ambilobe Panther Chameleon (F3-jimanga-kintana2023-10-09) - Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female.

      We've included sire and dam dendrograms, but you can search for jimanga or kintana on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old YBBB Ambilobe Panther Chameleon","M1-jimanga-kintana2023-10-09","Juvenile",449,"For Sale","Public","Active","Male","10-09-2023",1,"jimanga-kintana2023-10-09","YBBB Ambilobe","https://ipardalis.com/img/babies/20231009/M1.jpg https://ipardalis.com/img/ambilobe/jimangakintana.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/07/31/kintana/tree.png","4 Month-old YBBB Ambilobe Panther Chameleon (M1-jimanga-kintana2023-10-09) - Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female.

      We've included sire and dam dendrograms, but you can search for jimanga or kintana on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old YBBB Ambilobe Panther Chameleon","M2-jimanga-kintana2023-10-09","Juvenile",499,"For Sale","Public","Active","Male","10-09-2023",1,"jimanga-kintana2023-10-09","YBBB Ambilobe","https://ipardalis.com/img/babies/20231009/M2.jpg https://ipardalis.com/img/ambilobe/jimangakintana.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/07/31/kintana/tree.png","4 Month-old YBBB Ambilobe Panther Chameleon (M2-jimanga-kintana2023-10-09) - Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female.

      We've included sire and dam dendrograms, but you can search for jimanga or kintana on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old YBBB Ambilobe Panther Chameleon","M3-jimanga-kintana2023-10-09","Juvenile",449,"For Sale","Public","Active","Male","10-09-2023",1,"jimanga-kintana2023-10-09","YBBB Ambilobe","https://ipardalis.com/img/babies/20231009/M3.jpg https://ipardalis.com/img/ambilobe/jimangakintana.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/07/31/kintana/tree.png","4 Month-old YBBB Ambilobe Panther Chameleon (M3-jimanga-kintana2023-10-09) - Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female.

      We've included sire and dam dendrograms, but you can search for jimanga or kintana on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old YBBB Ambilobe Panther Chameleon","M5-jimanga-kintana2023-10-09","Juvenile",449,"For Sale","Public","Active","Male","10-09-2023",1,"jimanga-kintana2023-10-09","YBBB Ambilobe","https://ipardalis.com/img/babies/20231009/M5.jpg https://ipardalis.com/img/ambilobe/jimangakintana.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/07/31/kintana/tree.png","4 Month-old YBBB Ambilobe Panther Chameleon (M5-jimanga-kintana2023-10-09) - Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female.

      We've included sire and dam dendrograms, but you can search for jimanga or kintana on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M10-kiborin-maize2023-07-05","Subadult",549,"For Sale","Public","Active","Male","07-05-2023",1,"kiborin-maize2023-07-05","YBBB Ambilobe","https://ipardalis.com/img/babies/20230705/M10_2.jpg https://ipardalis.com/img/ambilobe/kiborinmaize.jpg https://ipardalis.com/blog/2021/06/20/kiborin/tree.png https://ipardalis.com/blog/2022/01/13/maize/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M10-kiborin-maize2023-07-05) - We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool

      We've included sire and dam dendrograms, but you can search for kiborin or maize on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old Rainbow Ambilobe Panther Chameleon","M7-kiborin-maize2023-07-05","Subadult",599,"For Sale","Public","Active","Male","07-05-2023",1,"kiborin-maize2023-07-05","Classic Ambilobe","https://ipardalis.com/img/babies/20230705/M7_3.jpg https://ipardalis.com/img/ambilobe/kiborinmaize.jpg https://ipardalis.com/blog/2021/06/20/kiborin/tree.png https://ipardalis.com/blog/2022/01/13/maize/tree.png","7 Month-old Rainbow Ambilobe Panther Chameleon (M7-kiborin-maize2023-07-05) - We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool

      We've included sire and dam dendrograms, but you can search for kiborin or maize on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","F2-kiborin-maize2023-07-05","Subadult",299,"For Sale","Public","Active","Female","07-05-2023",1,"kiborin-maize2023-07-05","YBBB Ambilobe","https://ipardalis.com/img/babies/20230705/F2.jpg https://ipardalis.com/img/ambilobe/kiborinmaize.jpg https://ipardalis.com/blog/2021/06/20/kiborin/tree.png https://ipardalis.com/blog/2022/01/13/maize/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (F2-kiborin-maize2023-07-05) - We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool

      We've included sire and dam dendrograms, but you can search for kiborin or maize on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","F3-kiborin-maize2023-07-05","Subadult",299,"For Sale","Public","Active","Female","07-05-2023",1,"kiborin-maize2023-07-05","YBBB Ambilobe","https://ipardalis.com/img/babies/20230705/F3.jpg https://ipardalis.com/img/ambilobe/kiborinmaize.jpg https://ipardalis.com/blog/2021/06/20/kiborin/tree.png https://ipardalis.com/blog/2022/01/13/maize/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (F3-kiborin-maize2023-07-05) - We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool

      We've included sire and dam dendrograms, but you can search for kiborin or maize on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","F4-kiborin-maize2023-07-05","Subadult",249,"For Sale","Public","Active","Female","07-05-2023",1,"kiborin-maize2023-07-05","YBBB Ambilobe","https://ipardalis.com/img/babies/20230705/F4.jpg https://ipardalis.com/img/ambilobe/kiborinmaize.jpg https://ipardalis.com/blog/2021/06/20/kiborin/tree.png https://ipardalis.com/blog/2022/01/13/maize/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (F4-kiborin-maize2023-07-05) - We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool

      We've included sire and dam dendrograms, but you can search for kiborin or maize on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old RBBB Ambilobe Panther Chameleon","M1-kosmo-mainty2023-09-28","Juvenile",499,"For Sale","Public","Active","Male","09-28-2023",1,"kosmo-mainty2023-09-28","RBBB Ambilobe","https://ipardalis.com/img/babies/20230928/M1.jpg https://ipardalis.com/img/ambilobe/kosmomainty.jpg https://ipardalis.com/blog/2021/05/01/kosmo/tree.png https://ipardalis.com/blog/2021/09/05/mainty/tree.png","4 Month-old RBBB Ambilobe Panther Chameleon (M1-kosmo-mainty2023-09-28) - Another great RBBB x RBBB combo. We chose to pair Kosmo with Mainty long-term because of the way that his dark bars match up well with Bangheera's.

      We've included sire and dam dendrograms, but you can search for kosmo or mainty on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old RBBB Ambilobe Panther Chameleon","M2-kosmo-mainty2023-09-28","Juvenile",499,"For Sale","Public","Active","Male","09-28-2023",1,"kosmo-mainty2023-09-28","RBBB Ambilobe","https://ipardalis.com/img/babies/20230928/M2.jpg https://ipardalis.com/img/ambilobe/kosmomainty.jpg https://ipardalis.com/blog/2021/05/01/kosmo/tree.png https://ipardalis.com/blog/2021/09/05/mainty/tree.png","4 Month-old RBBB Ambilobe Panther Chameleon (M2-kosmo-mainty2023-09-28) - Another great RBBB x RBBB combo. We chose to pair Kosmo with Mainty long-term because of the way that his dark bars match up well with Bangheera's.

      We've included sire and dam dendrograms, but you can search for kosmo or mainty on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old RBBB Ambilobe Panther Chameleon","M4-kosmo-mainty2023-09-28","Juvenile",425,"For Sale","Public","Active","Male","09-28-2023",1,"kosmo-mainty2023-09-28","RBBB Ambilobe","https://ipardalis.com/img/babies/20230928/M4.jpg https://ipardalis.com/img/ambilobe/kosmomainty.jpg https://ipardalis.com/blog/2021/05/01/kosmo/tree.png https://ipardalis.com/blog/2021/09/05/mainty/tree.png","4 Month-old RBBB Ambilobe Panther Chameleon (M4-kosmo-mainty2023-09-28) - Another great RBBB x RBBB combo. We chose to pair Kosmo with Mainty long-term because of the way that his dark bars match up well with Bangheera's.

      We've included sire and dam dendrograms, but you can search for kosmo or mainty on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old RBBB Ambilobe Panther Chameleon","M5-kosmo-mainty2023-09-28","Juvenile",499,"For Sale","Public","Active","Male","09-28-2023",1,"kosmo-mainty2023-09-28","RBBB Ambilobe","https://ipardalis.com/img/babies/20230928/M5.jpg https://ipardalis.com/img/ambilobe/kosmomainty.jpg https://ipardalis.com/blog/2021/05/01/kosmo/tree.png https://ipardalis.com/blog/2021/09/05/mainty/tree.png","4 Month-old RBBB Ambilobe Panther Chameleon (M5-kosmo-mainty2023-09-28) - Another great RBBB x RBBB combo. We chose to pair Kosmo with Mainty long-term because of the way that his dark bars match up well with Bangheera's.

      We've included sire and dam dendrograms, but you can search for kosmo or mainty on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old RBBB Ambilobe Panther Chameleon","M6-kosmo-mainty2023-09-28","Juvenile",425,"For Sale","Public","Active","Male","09-28-2023",1,"kosmo-mainty2023-09-28","RBBB Ambilobe","https://ipardalis.com/img/babies/20230928/M6.jpg https://ipardalis.com/img/ambilobe/kosmomainty.jpg https://ipardalis.com/blog/2021/05/01/kosmo/tree.png https://ipardalis.com/blog/2021/09/05/mainty/tree.png","4 Month-old RBBB Ambilobe Panther Chameleon (M6-kosmo-mainty2023-09-28) - Another great RBBB x RBBB combo. We chose to pair Kosmo with Mainty long-term because of the way that his dark bars match up well with Bangheera's.

      We've included sire and dam dendrograms, but you can search for kosmo or mainty on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","4 Month-old RBBB Ambilobe Panther Chameleon","M7-kosmo-mainty2023-09-28","Juvenile",499,"For Sale","Public","Active","Male","09-28-2023",1,"kosmo-mainty2023-09-28","RBBB Ambilobe","https://ipardalis.com/img/babies/20230928/M7.jpg https://ipardalis.com/img/ambilobe/kosmomainty.jpg https://ipardalis.com/blog/2021/05/01/kosmo/tree.png https://ipardalis.com/blog/2021/09/05/mainty/tree.png","4 Month-old RBBB Ambilobe Panther Chameleon (M7-kosmo-mainty2023-09-28) - Another great RBBB x RBBB combo. We chose to pair Kosmo with Mainty long-term because of the way that his dark bars match up well with Bangheera's.

      We've included sire and dam dendrograms, but you can search for kosmo or mainty on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
