"Category","Title","Animal_Id","Maturity","Price","State","Visibility","Enabled","Sex","Dob","Quantity","Group_Id","Traits","Photo_Urls","Desc","Proven_Breeder","Is_Group","Origin","Prey_State","Prey_Food","Min_Shipping","Max_Shipping","Is_Rep_Photo","Is_Negotiable","Is_For_Trade"
"Panther Chameleons","8 Month-old YBBB Ambilobe Panther Chameleon","M4-dia-vaosary2023-08-28","Subadult",449,"For Sale","Public","Active","Male","08-28-2023",1,"dia-vaosary2023-08-28","YBBB Ambilobe","https://ipardalis.com/img/babies/20230828/M4.jpg https://ipardalis.com/img/ambilobe/diavaosary.jpg  https://ipardalis.com/blog/2022/01/12/vaosary/tree.png","8 Month-old YBBB Ambilobe Panther Chameleon (M4-dia-vaosary2023-08-28) - One of the few F1 clutches we got from Dia - very valuable fresh genetics x one of our best 5th gen females.

      We've included sire and dam dendrograms, but you can search for dia or vaosary on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old YBBB Ambilobe Panther Chameleon","M1-ghost-jiolahy2023-10-05","Subadult",549,"For Sale","Public","Active","Male","10-05-2023",1,"ghost-jiolahy2023-10-05","YBBB Ambilobe","https://ipardalis.com/img/babies/20231005/M1_4.jpg https://ipardalis.com/img/ambilobe/ghostjiolahy.jpg https://ipardalis.com/blog/2021/10/17/ghost/tree.png https://ipardalis.com/blog/2021/07/14/jiolahy/tree.png","7 Month-old YBBB Ambilobe Panther Chameleon (M1-ghost-jiolahy2023-10-05) - Ghost's first clutch with our F1 female from WC The Don, Jiolahy!

      We've included sire and dam dendrograms, but you can search for ghost or jiolahy on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","9 Month-old YBBB Ambilobe Panther Chameleon","M6-jimanga-bumblebee2023-07-10","Subadult",499,"For Sale","Public","Active","Male","07-10-2023",1,"jimanga-bumblebee2023-07-10","YBBB Ambilobe","https://ipardalis.com/img/babies/20230710/M6_1.jpg https://ipardalis.com/img/ambilobe/jimangabumblebee.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/01/11/bumblebee/tree.png","9 Month-old YBBB Ambilobe Panther Chameleon (M6-jimanga-bumblebee2023-07-10) - This is the first combo between two of our 5th gen Ambilobe - great ybbb combo!

      We've included sire and dam dendrograms, but you can search for jimanga or bumblebee on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","9 Month-old YBBB Ambilobe Panther Chameleon","M7-jimanga-bumblebee2023-07-10","Subadult",549,"For Sale","Public","Active","Male","07-10-2023",1,"jimanga-bumblebee2023-07-10","YBBB Ambilobe","https://ipardalis.com/img/babies/20230710/M7_1.jpg https://ipardalis.com/img/ambilobe/jimangabumblebee.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/01/11/bumblebee/tree.png","9 Month-old YBBB Ambilobe Panther Chameleon (M7-jimanga-bumblebee2023-07-10) - This is the first combo between two of our 5th gen Ambilobe - great ybbb combo!

      We've included sire and dam dendrograms, but you can search for jimanga or bumblebee on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","9 Month-old YBBB Ambilobe Panther Chameleon","M2-jimanga-bumblebee2023-07-10","Subadult",499,"For Sale","Public","Active","Male","07-10-2023",1,"jimanga-bumblebee2023-07-10","YBBB Ambilobe","https://ipardalis.com/img/babies/20230710/M2_2.jpg https://ipardalis.com/img/ambilobe/jimangabumblebee.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/01/11/bumblebee/tree.png","9 Month-old YBBB Ambilobe Panther Chameleon (M2-jimanga-bumblebee2023-07-10) - This is the first combo between two of our 5th gen Ambilobe - great ybbb combo!

      We've included sire and dam dendrograms, but you can search for jimanga or bumblebee on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","9 Month-old YBBB Ambilobe Panther Chameleon","M8-jimanga-bumblebee2023-07-10","Subadult",525,"For Sale","Public","Active","Male","07-10-2023",1,"jimanga-bumblebee2023-07-10","YBBB Ambilobe","https://ipardalis.com/img/babies/20230710/M8_1.jpg https://ipardalis.com/img/ambilobe/jimangabumblebee.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/01/11/bumblebee/tree.png","9 Month-old YBBB Ambilobe Panther Chameleon (M8-jimanga-bumblebee2023-07-10) - This is the first combo between two of our 5th gen Ambilobe - great ybbb combo!

      We've included sire and dam dendrograms, but you can search for jimanga or bumblebee on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","9 Month-old YBBB Ambilobe Panther Chameleon","M5-jimanga-bumblebee2023-07-10","Subadult",449,"For Sale","Public","Active","Male","07-10-2023",1,"jimanga-bumblebee2023-07-10","YBBB Ambilobe","https://ipardalis.com/img/babies/20230710/M5_2.jpg https://ipardalis.com/img/ambilobe/jimangabumblebee.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/01/11/bumblebee/tree.png","9 Month-old YBBB Ambilobe Panther Chameleon (M5-jimanga-bumblebee2023-07-10) - This is the first combo between two of our 5th gen Ambilobe - great ybbb combo!

      We've included sire and dam dendrograms, but you can search for jimanga or bumblebee on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","6 Month-old YBBB Ambilobe Panther Chameleon","F1-jimanga-kintana2023-10-09","Subadult",349,"For Sale","Public","Active","Female","10-09-2023",1,"jimanga-kintana2023-10-09","YBBB Ambilobe","https://ipardalis.com/img/babies/20231009/F1.jpg https://ipardalis.com/img/ambilobe/jimangakintana.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/07/31/kintana/tree.png","6 Month-old YBBB Ambilobe Panther Chameleon (F1-jimanga-kintana2023-10-09) - Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female.

      We've included sire and dam dendrograms, but you can search for jimanga or kintana on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","6 Month-old YBBB Ambilobe Panther Chameleon","F2-jimanga-kintana2023-10-09","Subadult",349,"For Sale","Public","Active","Female","10-09-2023",1,"jimanga-kintana2023-10-09","YBBB Ambilobe","https://ipardalis.com/img/babies/20231009/F2.jpg https://ipardalis.com/img/ambilobe/jimangakintana.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/07/31/kintana/tree.png","6 Month-old YBBB Ambilobe Panther Chameleon (F2-jimanga-kintana2023-10-09) - Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female.

      We've included sire and dam dendrograms, but you can search for jimanga or kintana on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","6 Month-old YBBB Ambilobe Panther Chameleon","F3-jimanga-kintana2023-10-09","Subadult",349,"For Sale","Public","Active","Female","10-09-2023",1,"jimanga-kintana2023-10-09","YBBB Ambilobe","https://ipardalis.com/img/babies/20231009/F3.jpg https://ipardalis.com/img/ambilobe/jimangakintana.jpg https://ipardalis.com/blog/2021/12/03/jimanga/tree.png https://ipardalis.com/blog/2022/07/31/kintana/tree.png","6 Month-old YBBB Ambilobe Panther Chameleon (F3-jimanga-kintana2023-10-09) - Great CB combination between one of our favorite YBBB lines and a Chromatic Chameleons female.

      We've included sire and dam dendrograms, but you can search for jimanga or kintana on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","10 Month-old YBBB Ambilobe Panther Chameleon","F2-kiborin-maize2023-07-05","Adult",299,"For Sale","Public","Active","Female","07-05-2023",1,"kiborin-maize2023-07-05","YBBB Ambilobe","https://ipardalis.com/img/babies/20230705/F2.jpg https://ipardalis.com/img/ambilobe/kiborinmaize.jpg https://ipardalis.com/blog/2021/06/20/kiborin/tree.png https://ipardalis.com/blog/2022/01/13/maize/tree.png","10 Month-old YBBB Ambilobe Panther Chameleon (F2-kiborin-maize2023-07-05) - We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool

      We've included sire and dam dendrograms, but you can search for kiborin or maize on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","10 Month-old YBBB Ambilobe Panther Chameleon","F3-kiborin-maize2023-07-05","Adult",299,"For Sale","Public","Active","Female","07-05-2023",1,"kiborin-maize2023-07-05","YBBB Ambilobe","https://ipardalis.com/img/babies/20230705/F3.jpg https://ipardalis.com/img/ambilobe/kiborinmaize.jpg https://ipardalis.com/blog/2021/06/20/kiborin/tree.png https://ipardalis.com/blog/2022/01/13/maize/tree.png","10 Month-old YBBB Ambilobe Panther Chameleon (F3-kiborin-maize2023-07-05) - We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool

      We've included sire and dam dendrograms, but you can search for kiborin or maize on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","10 Month-old YBBB Ambilobe Panther Chameleon","F4-kiborin-maize2023-07-05","Adult",249,"For Sale","Public","Active","Female","07-05-2023",1,"kiborin-maize2023-07-05","YBBB Ambilobe","https://ipardalis.com/img/babies/20230705/F4.jpg https://ipardalis.com/img/ambilobe/kiborinmaize.jpg https://ipardalis.com/blog/2021/06/20/kiborin/tree.png https://ipardalis.com/blog/2022/01/13/maize/tree.png","10 Month-old YBBB Ambilobe Panther Chameleon (F4-kiborin-maize2023-07-05) - We only did a few clutches with Kiborin, so these will be a great ybbb option from a limited gene pool

      We've included sire and dam dendrograms, but you can search for kiborin or maize on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old RBBB Ambilobe Panther Chameleon","F1-ralph-kosma2023-10-01","Subadult",499,"For Sale","Public","Active","Female","10-01-2023",1,"ralph-kosma2023-10-01","RBBB Ambilobe","https://ipardalis.com/img/babies/20230901/F1_2.jpg https://ipardalis.com/img/ambilobe/ralphkosma.jpg https://ipardalis.com/blog/2021/06/05/ralph/tree.png https://ipardalis.com/blog/2021/05/02/kosma/tree.png","7 Month-old RBBB Ambilobe Panther Chameleon (F1-ralph-kosma2023-10-01) - Great RBBB x RBBB combo. Ralph with Kosmo's sister, Kosma.

      We've included sire and dam dendrograms, but you can search for ralph or kosma on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old RBBB Ambilobe Panther Chameleon","F2-ralph-kosma2023-10-01","Subadult",325,"For Sale","Public","Active","Female","10-01-2023",1,"ralph-kosma2023-10-01","RBBB Ambilobe","https://ipardalis.com/img/babies/20230901/F2.jpg https://ipardalis.com/img/ambilobe/ralphkosma.jpg https://ipardalis.com/blog/2021/06/05/ralph/tree.png https://ipardalis.com/blog/2021/05/02/kosma/tree.png","7 Month-old RBBB Ambilobe Panther Chameleon (F2-ralph-kosma2023-10-01) - Great RBBB x RBBB combo. Ralph with Kosmo's sister, Kosma.

      We've included sire and dam dendrograms, but you can search for ralph or kosma on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old RBBB Ambilobe Panther Chameleon","F3-ralph-kosma2023-10-01","Subadult",399,"For Sale","Public","Active","Female","10-01-2023",1,"ralph-kosma2023-10-01","RBBB Ambilobe","https://ipardalis.com/img/babies/20230901/F3.jpg https://ipardalis.com/img/ambilobe/ralphkosma.jpg https://ipardalis.com/blog/2021/06/05/ralph/tree.png https://ipardalis.com/blog/2021/05/02/kosma/tree.png","7 Month-old RBBB Ambilobe Panther Chameleon (F3-ralph-kosma2023-10-01) - Great RBBB x RBBB combo. Ralph with Kosmo's sister, Kosma.

      We've included sire and dam dendrograms, but you can search for ralph or kosma on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","7 Month-old RBBB Ambilobe Panther Chameleon","F4-ralph-kosma2023-10-01","Subadult",299,"For Sale","Public","Active","Female","10-01-2023",1,"ralph-kosma2023-10-01","RBBB Ambilobe","https://ipardalis.com/img/babies/20230901/F4.jpg https://ipardalis.com/img/ambilobe/ralphkosma.jpg https://ipardalis.com/blog/2021/06/05/ralph/tree.png https://ipardalis.com/blog/2021/05/02/kosma/tree.png","7 Month-old RBBB Ambilobe Panther Chameleon (F4-ralph-kosma2023-10-01) - Great RBBB x RBBB combo. Ralph with Kosmo's sister, Kosma.

      We've included sire and dam dendrograms, but you can search for ralph or kosma on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","2 Month-old YBBB Ambilobe Panther Chameleon","M1-tratra-parasi2024-02-09","Juvenile",499,"For Sale","Public","Active","Male","02-09-2024",1,"tratra-parasi2024-02-09","YBBB Ambilobe","https://ipardalis.com/img/babies/20240209/M1.jpg https://ipardalis.com/img/ambilobe/tratraparasi.jpg  https://ipardalis.com/blog/2022/08/20/parasi/tree.png","2 Month-old YBBB Ambilobe Panther Chameleon (M1-tratra-parasi2024-02-09) - Some fresh genetics from our WC Tratra combined with a great female from F1 Manjaka and Parasy!

      We've included sire and dam dendrograms, but you can search for tratra or parasi on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","2 Month-old YBBB Ambilobe Panther Chameleon","M2-tratra-parasi2024-02-09","Juvenile",499,"For Sale","Public","Active","Male","02-09-2024",1,"tratra-parasi2024-02-09","YBBB Ambilobe","https://ipardalis.com/img/babies/20240209/M2.jpg https://ipardalis.com/img/ambilobe/tratraparasi.jpg  https://ipardalis.com/blog/2022/08/20/parasi/tree.png","2 Month-old YBBB Ambilobe Panther Chameleon (M2-tratra-parasi2024-02-09) - Some fresh genetics from our WC Tratra combined with a great female from F1 Manjaka and Parasy!

      We've included sire and dam dendrograms, but you can search for tratra or parasi on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
"Panther Chameleons","9 Month-old YBBB Ambilobe Panther Chameleon","M4-zozoro-artilly2023-08-03","Subadult",549,"For Sale","Public","Active","Male","08-03-2023",1,"zozoro-artilly2023-08-03","YBBB Ambilobe","https://ipardalis.com/img/babies/20230711/M4_4.jpg https://ipardalis.com/img/ambilobe/zozoroartilly.jpg https://ipardalis.com/blog/2021/10/06/zozoro/tree.png https://ipardalis.com/blog/2022/02/03/artilly/tree.png","9 Month-old YBBB Ambilobe Panther Chameleon (M4-zozoro-artilly2023-08-03) - Great quality cb ybbb Ambilobe.

      We've included sire and dam dendrograms, but you can search for zozoro or artilly on our website for 5+ generations of lineage!","No","No","Self Produced","Live","Cricket",40,100,"No","Will Consider","No"
